training noise-level and iteration, test noise-level, epoch, reconstruction error, kl-divergence, cost
0.0 0, 0.46, 2, 50040.82843661308, 0.10386679347692673, 50040.93230340656
0.0 0, 0.48, 2, 50041.13510251045, 0.10822426736092183, 50041.24332677781
0.0 0, 0.5, 2, 50040.82843661308, 0.11205900611465447, 50040.9404956192
0.0 0, 0.0, 6, 50037.13749349117, 0.0334796374721551, 50037.17097312865
0.0 0, 0.02, 6, 50037.42225468159, 0.03363355312238403, 50037.45588823471
0.0 0, 0.04, 6, 50038.327649235725, 0.034184742212480135, 50038.361833977935
0.0 0, 0.06, 6, 50037.710666656494, 0.035327369772894635, 50037.74599402627
0.0 0, 0.08, 6, 50038.31669688225, 0.0370177068132832, 50038.35371458906
0.0 0, 0.1, 6, 50037.7581268549, 0.039089359971997695, 50037.797216214865
0.0 0, 0.12, 6, 50037.67415881157, 0.041144432222776084, 50037.71530324379
0.0 0, 0.14, 6, 50037.681460380554, 0.044204470682428276, 50037.725664851234
0.0 0, 0.16, 6, 50037.55368292332, 0.04779306727185029, 50037.60147599059
0.0 0, 0.18, 6, 50037.04622387886, 0.051052250208637795, 50037.09727612907
0.0 0, 0.2, 6, 50037.93701529503, 0.05478353684506765, 50037.99179883187
0.0 0, 0.22, 6, 50038.22907805443, 0.058595799950955096, 50038.28767385438
0.0 0, 0.24, 6, 50037.70336508751, 0.0625026789477876, 50037.76586776646
0.0 0, 0.26, 6, 50037.418603897095, 0.06806384399678356, 50037.48666774109
0.0 0, 0.28, 6, 50037.83479332924, 0.07154790544024914, 50037.90634123468
0.0 0, 0.3, 6, 50037.49892115593, 0.07621619850175787, 50037.57513735443
0.0 0, 0.32, 6, 50037.433207035065, 0.0779955728493541, 50037.511202607915
0.0 0, 0.34, 6, 50038.210824131966, 0.08204686762057778, 50038.29287099958
0.0 0, 0.36, 6, 50036.81257367134, 0.08852056116084817, 50036.901094232504
0.0 0, 0.38, 6, 50037.25066781044, 0.09246583580212941, 50037.343133646245
0.0 0, 0.4, 6, 50037.36384212971, 0.09521982392172801, 50037.45906195363
0.0 0, 0.42, 6, 50037.5609844923, 0.10074397986225747, 50037.661728472165
0.0 0, 0.44, 6, 50038.06844353676, 0.10548665180381867, 50038.17393018856
0.0 0, 0.46, 6, 50038.17066550255, 0.11003294037593825, 50038.280698442926
0.0 0, 0.48, 6, 50037.60114312172, 0.11601422050487586, 50037.717157342224
0.0 0, 0.5, 6, 50037.93701529503, 0.1152053316193099, 50038.05222062665
0.0 0, 0.0, 11, 50041.71922802925, 0.03574187957646069, 50041.75496990883
0.0 0, 0.02, 11, 50041.58779978752, 0.03600163239348808, 50041.62380141991
0.0 0, 0.04, 11, 50040.69335758686, 0.036541271060791414, 50040.72989885792
0.0 0, 0.06, 11, 50041.916370391846, 0.03788915709562035, 50041.95425954894
0.0 0, 0.08, 11, 50041.85065627098, 0.039274944403036915, 50041.88993121538
0.0 0, 0.1, 11, 50041.679069399834, 0.04129081702013393, 50041.72036021685
0.0 0, 0.12, 11, 50041.44906997681, 0.04446204237217144, 50041.49353201918
0.0 0, 0.14, 11, 50041.53668880463, 0.04708723133962123, 50041.583776035965
0.0 0, 0.16, 11, 50041.09859466553, 0.050526559985863306, 50041.14912122551
0.0 0, 0.18, 11, 50041.12780094147, 0.053972835133549224, 50041.1817737766
0.0 0, 0.2, 11, 50041.843354701996, 0.05827463470451244, 50041.9016293367
0.0 0, 0.22, 11, 50041.638910770416, 0.06155619193379003, 50041.70046696235
0.0 0, 0.24, 11, 50041.240975260735, 0.06685879647719739, 50041.30783405721
0.0 0, 0.26, 11, 50040.90145230293, 0.07130750782980766, 50040.972759810764
0.0 0, 0.28, 11, 50040.788277983665, 0.07651844687376763, 50040.86479643054
0.0 0, 0.3, 11, 50041.56954586506, 0.07894536461829049, 50041.64849122968
0.0 0, 0.32, 11, 50041.638910770416, 0.08478388228274802, 50041.7236946527
0.0 0, 0.34, 11, 50041.211768984795, 0.08876470577577933, 50041.30053369057
0.0 0, 0.36, 11, 50041.167959570885, 0.09088839943642613, 50041.25884797032
0.0 0, 0.38, 11, 50041.54399037361, 0.09432838926479914, 50041.638318762874
0.0 0, 0.4, 11, 50041.56954586506, 0.09906864345162458, 50041.66861450851
0.0 0, 0.42, 11, 50041.34684801102, 0.10758066524164311, 50041.45442867626
0.0 0, 0.44, 11, 50041.28843545914, 0.10809759558891008, 50041.39653305473
0.0 0, 0.46, 11, 50041.28843545914, 0.11460848913001465, 50041.40304394827
0.0 0, 0.48, 11, 50042.164623737335, 0.11655069523978223, 50042.28117443257
0.0 0, 0.5, 11, 50041.606053709984, 0.12152540889442276, 50041.72757911888
0.0 0, 0.0, 26, 49951.78945362568, 0.03595828708447024, 49951.82541191277
0.0 0, 0.02, 26, 49950.74167847633, 0.036153567264054276, 49950.7778320436
0.0 0, 0.04, 26, 49951.081201434135, 0.03661712475248824, 49951.11781855889
0.0 0, 0.06, 26, 49951.31120085716, 0.03822182342380187, 49951.349422680585
0.0 0, 0.08, 26, 49950.508028268814, 0.04013267528934761, 49950.548160944105
0.0 0, 0.1, 26, 49952.14723050594, 0.04188990337017495, 49952.18912040931
0.0 0, 0.12, 26, 49951.946437358856, 0.044716747836383686, 49951.99115410669
0.0 0, 0.14, 26, 49951.03374123573, 0.04807351893757594, 49951.08181475467
0.0 0, 0.16, 26, 49951.21628046036, 0.05175356945130327, 49951.26803402981
0.0 0, 0.18, 26, 49951.227232813835, 0.05600090190682594, 49951.283233715745
0.0 0, 0.2, 26, 49951.5375494957, 0.05990462043360001, 49951.597454116134
0.0 0, 0.22, 26, 49951.48278772831, 0.0633274793585471, 49951.54611520767
0.0 0, 0.24, 26, 49951.58866047859, 0.06826417837619259, 49951.65692465697
0.0 0, 0.26, 26, 49951.42802596092, 0.07260215887414345, 49951.50062811979
0.0 0, 0.28, 26, 49951.54485106468, 0.07629999692635936, 49951.621151061605
0.0 0, 0.3, 26, 49950.891360640526, 0.0816890974790695, 49950.97304973801
0.0 0, 0.32, 26, 49951.17977261543, 0.08536103322626387, 49951.26513364866
0.0 0, 0.34, 26, 49951.30389928818, 0.08875254389055232, 49951.392651832066
0.0 0, 0.36, 26, 49951.037392020226, 0.0944304667100605, 49951.13182248694
0.0 0, 0.38, 26, 49952.05961167812, 0.10027834960892246, 49952.15989002773
0.0 0, 0.4, 26, 49951.431676745415, 0.10396499535238224, 49951.53564174077
0.0 0, 0.42, 26, 49951.03009045124, 0.11017233406419225, 49951.1402627853
0.0 0, 0.44, 26, 49950.79278945923, 0.11465563787162691, 49950.9074450971
0.0 0, 0.46, 26, 49950.94612240791, 0.11452003575785263, 49951.06064244367
0.0 0, 0.48, 26, 49950.96802711487, 0.11855352717346568, 49951.08658064204
