training noise-level and iteration, test noise-level, epoch, reconstruction error, kl-divergence, cost
0.04 0, 0.5, 11, 50042.17192530632, 0.19196460747440525, 50042.363889913795
0.04 0, 0.0, 26, 49952.02675461769, 0.061714351447229365, 49952.08846896914
0.04 0, 0.02, 26, 49951.504692435265, 0.062109055372708055, 49951.56680149064
0.04 0, 0.04, 26, 49951.96834206581, 0.06306614148389555, 49952.031408207295
0.04 0, 0.06, 26, 49951.39516890049, 0.0653031964337657, 49951.46047209692
0.04 0, 0.08, 26, 49951.61786675453, 0.06752757771690443, 49951.68539433225
0.04 0, 0.1, 26, 49951.24913752079, 0.07122831559674125, 49951.320365836385
0.04 0, 0.12, 26, 49952.03040540218, 0.07575041346530154, 49952.10615581565
0.04 0, 0.14, 26, 49951.183423399925, 0.08016978718364709, 49951.26359318711
0.04 0, 0.16, 26, 49951.796755194664, 0.08367483747441518, 49951.880430032135
0.04 0, 0.18, 26, 49951.5850096941, 0.09057502271072371, 49951.67558471681
0.04 0, 0.2, 26, 49951.51564478874, 0.0971732243888489, 49951.612818013135
0.04 0, 0.22, 26, 49951.85151696205, 0.10297857864280147, 49951.9544955407
0.04 0, 0.24, 26, 49951.577708125114, 0.11083084537729126, 49951.68853897049
0.04 0, 0.26, 26, 49951.198026537895, 0.11816072047108961, 49951.316187258366
0.04 0, 0.28, 26, 49951.78945362568, 0.12243109528122609, 49951.91188472096
0.04 0, 0.3, 26, 49951.78945362568, 0.12721411223121049, 49951.91666773791
0.04 0, 0.32, 26, 49951.709136366844, 0.13471939077099804, 49951.843855757616
0.04 0, 0.34, 26, 49951.66897773743, 0.14466870460803216, 49951.81364644203
0.04 0, 0.36, 26, 49951.65802538395, 0.1448687159703883, 49951.80289409992
0.04 0, 0.38, 26, 49951.975643634796, 0.1588645475150814, 49952.13450818231
0.04 0, 0.4, 26, 49951.90627872944, 0.15856043306759426, 49952.06483916251
0.04 0, 0.42, 26, 49952.07421481609, 0.16944549367001527, 49952.24366030977
0.04 0, 0.44, 26, 49952.00850069523, 0.17415303752385192, 49952.18265373275
0.04 0, 0.46, 26, 49951.563104987144, 0.1812155765317418, 49951.744320563674
0.04 0, 0.48, 26, 49951.42072439194, 0.18226660673194883, 49951.60299099867
0.04 0, 0.5, 26, 49951.723739504814, 0.19615207600418327, 49951.919891580816
0.04 0, 0.0, final, 49952.35167443752, 0.06199045334565223, 49952.41366489087
0.04 0, 0.02, final, 49952.38818228245, 0.06228421418497887, 49952.45046649663
0.04 0, 0.04, final, 49952.83357799053, 0.06307076647161214, 49952.89664875701
0.04 0, 0.06, final, 49952.08516716957, 0.06472781732211319, 49952.14989498689
0.04 0, 0.08, final, 49952.340722084045, 0.06770755790678396, 49952.40842964195
0.04 0, 0.1, final, 49952.24215090275, 0.07050214391610665, 49952.31265304666
0.04 0, 0.12, final, 49952.092468738556, 0.07593377480107566, 49952.16840251336
0.04 0, 0.14, final, 49952.43929326534, 0.08134667583827004, 49952.52063994118
0.04 0, 0.16, final, 49952.399134635925, 0.08559806883443588, 49952.48473270476
0.04 0, 0.18, final, 49951.57040655613, 0.0935903755232983, 49951.66399693165
0.04 0, 0.2, final, 49952.15453207493, 0.09770078250823933, 49952.252232857434
0.04 0, 0.22, final, 49952.79707014561, 0.10390623658359333, 49952.90097638219
0.04 0, 0.24, final, 49952.20564305782, 0.10861221172682811, 49952.31425526955
0.04 0, 0.26, final, 49952.2640556097, 0.1158002363921915, 49952.3798558461
0.04 0, 0.28, final, 49952.43929326534, 0.12211167094712938, 49952.56140493629
0.04 0, 0.3, final, 49952.413737773895, 0.12781334161814184, 49952.541551115515
0.04 0, 0.32, final, 49952.209293842316, 0.1346173273971707, 49952.343911169715
0.04 0, 0.34, final, 49952.881038188934, 0.14268278796172573, 49953.0237209769
0.04 0, 0.36, final, 49952.48310267925, 0.15263403755023464, 49952.6357367168
0.04 0, 0.38, final, 49952.194690704346, 0.15655985183649657, 49952.35125055618
0.04 0, 0.4, final, 49952.851831912994, 0.16073749854128383, 49953.012569411534
0.04 0, 0.42, final, 49952.51961052418, 0.17197160263424882, 49952.69158212681
0.04 0, 0.44, final, 49952.92849838734, 0.17587438793492205, 49953.10437277527
0.04 0, 0.46, final, 49952.09611952305, 0.1841653117468981, 49952.28028483479
0.04 0, 0.48, final, 49952.71675288677, 0.19086729864243746, 49952.90762018541
0.04 0, 0.5, final, 49952.71675288677, 0.18861192946145222, 49952.90536481624
0.04 1, 0.0, 0, 797199.4376182556, 80779815.35923843, 81577014.79685669
0.04 1, 0.02, 0, 797258.3174705505, 80806498.39770216, 81603756.71517271
0.04 1, 0.04, 0, 797427.5386333466, 80841314.28176296, 81638741.8203963
0.04 1, 0.06, 0, 797554.1186332703, 80890169.1289477, 81687723.24758098
0.04 1, 0.08, 0, 797647.2282409668, 80925700.54922909, 81723347.77747005
0.04 1, 0.1, 0, 797821.3560581207, 80986400.90682925, 81784222.26288737
0.04 1, 0.12, 0, 797944.5481300354, 81019431.343266, 81817375.89139603
0.04 1, 0.14, 0, 798086.6074562073, 81076820.86886832, 81874907.47632453
0.04 1, 0.16, 0, 798207.346200943, 81161036.76989667, 81959244.11609761
0.04 1, 0.18, 0, 798513.6032104492, 81226147.00124429, 82024660.60445474
0.04 1, 0.2, 0, 798544.6202754974, 81253205.70973626, 82051750.33001176
0.04 1, 0.22, 0, 798632.1222782135, 81314921.0184972, 82113553.14077541
0.04 1, 0.24, 0, 798837.8512859344, 81398899.9187985, 82197737.77008444
0.04 1, 0.26, 0, 799196.5043544769, 81545050.08269471, 82344246.58704919
0.04 1, 0.28, 0, 799489.3848896027, 81631880.63145979, 82431370.01634939
0.04 1, 0.3, 0, 799597.3896980286, 81665810.68271057, 82465408.0724086
0.04 1, 0.32, 0, 799982.9709529877, 81821397.0580504, 82621380.02900338
0.04 1, 0.34, 0, 799699.4364261627, 81738962.2209711, 82538661.65739726
0.04 1, 0.36, 0, 800143.1381702423, 81910684.56692296, 82710827.7050932
0.04 1, 0.38, 0, 800221.5278148651, 81935276.72035527, 82735498.24817014
0.04 1, 0.4, 0, 800405.877828598, 81973707.73232715, 82774113.61015575
0.04 1, 0.42, 0, 800644.5515155792, 82127414.29515783, 82928058.84667341
0.04 1, 0.44, 0, 800698.2326507568, 82109756.9523769, 82910455.18502766
0.04 1, 0.46, 0, 801284.3441963196, 82307785.31033239, 83109069.6545287
0.04 1, 0.48, 0, 801028.6140441895, 82265082.61203054, 83066111.22607473
0.04 1, 0.5, 0, 801143.0442333221, 82272597.76536849, 83073740.80960181
0.04 1, 0.0, 1, 50733.196064829826, 0.029617140265664643, 50733.22568197009
0.04 1, 0.02, 1, 50733.6451113224, 0.02970688371531216, 50733.67481820612
0.04 1, 0.04, 1, 50732.70320892334, 0.030280934216094013, 50732.73348985756
0.04 1, 0.06, 1, 50733.07923972607, 0.031112259104804196, 50733.110351985175
0.04 1, 0.08, 1, 50733.415111899376, 0.032495065679718826, 50733.447606965055
0.04 1, 0.1, 1, 50733.210667967796, 0.03437182650127202, 50733.245039794296
0.04 1, 0.12, 1, 50732.88209736347, 0.03636674505421522, 50732.91846410852
0.04 1, 0.14, 1, 50732.75797069073, 0.03839263718330965, 50732.796363327914
0.04 1, 0.16, 1, 50732.55352675915, 0.040379675891200506, 50732.59390643504
0.04 1, 0.18, 1, 50732.52432048321, 0.0436789737455624, 50732.56799945695
0.04 1, 0.2, 1, 50733.57209563255, 0.04701064878691641, 50733.61910628134
0.04 1, 0.22, 1, 50733.294636011124, 0.05037492614664363, 50733.34501093727
0.04 1, 0.24, 1, 50733.29098522663, 0.054035351650585706, 50733.34502057828
0.04 1, 0.26, 1, 50733.294636011124, 0.056431437450062405, 50733.35106744857
0.04 1, 0.28, 1, 50732.58638381958, 0.05908083391236074, 50732.64546465349
0.04 1, 0.3, 1, 50733.280032873154, 0.06380072418211047, 50733.34383359733
0.04 1, 0.32, 1, 50732.67765343189, 0.06481794542707398, 50732.74247137732
0.04 1, 0.34, 1, 50733.58669877052, 0.06861167448105421, 50733.65531044501
0.04 1, 0.36, 1, 50733.07923972607, 0.07153776256885591, 50733.150777488634
0.04 1, 0.38, 1, 50732.929557561874, 0.07623027805975147, 50733.00578783993
0.04 1, 0.4, 1, 50732.80178010464, 0.0783165573915584, 50732.880096662026
0.04 1, 0.42, 1, 50732.63384401798, 0.08192255730561582, 50732.71576657529
0.04 1, 0.44, 1, 50733.18146169186, 0.08291459107981303, 50733.26437628294
0.04 1, 0.46, 1, 50733.18511247635, 0.0872397557814324, 50733.27235223213
0.04 1, 0.48, 1, 50732.95146226883, 0.09157640991879712, 50733.04303867875
0.04 1, 0.5, 1, 50733.08654129505, 0.0970898396374067, 50733.18363113469
0.04 1, 0.0, 2, 50041.562244296074, 0.026658383509095884, 50041.588902679585
0.04 1, 0.02, 2, 50042.50779747963, 0.02671156387283169, 50042.5345090435
0.04 1, 0.04, 2, 50042.34351217747, 0.027186434244196644, 50042.37069861171
0.04 1, 0.06, 2, 50042.08065569401, 0.02800999961415107, 50042.108665693624
0.04 1, 0.08, 2, 50041.93462431431, 0.02935130350813253, 50041.963975617815
0.04 1, 0.1, 2, 50042.43843257427, 0.03135731545913334, 50042.46978988973
0.04 1, 0.12, 2, 50042.4238294363, 0.03322762329262052, 50042.4570570596
0.04 1, 0.14, 2, 50042.296051979065, 0.03583560127649077, 50042.33188758034
0.04 1, 0.16, 2, 50042.08065569401, 0.03781061007612774, 50042.118466304084
0.04 1, 0.18, 2, 50042.4749404192, 0.04108096354782731, 50042.51602138275
0.04 1, 0.2, 2, 50042.4238294363, 0.044264515496429624, 50042.4680939518
0.04 1, 0.22, 2, 50042.74144768715, 0.04767290129561297, 50042.789120588444
0.04 1, 0.24, 2, 50042.617321014404, 0.05135805812681815, 50042.66867907253
0.04 1, 0.26, 2, 50042.78890788555, 0.05433175894538855, 50042.8432396445
0.04 1, 0.28, 2, 50042.485892772675, 0.0576875794197218, 50042.543580352096
0.04 1, 0.3, 2, 50042.83271729946, 0.06111260938929952, 50042.89382990885
0.04 1, 0.32, 2, 50042.23398864269, 0.06427163523804691, 50042.29826027793
0.04 1, 0.34, 2, 50042.617321014404, 0.06869853178909191, 50042.68601954619
0.04 1, 0.36, 2, 50042.047798633575, 0.07102766855692177, 50042.11882630213
0.04 1, 0.38, 2, 50042.75970160961, 0.0740147640755795, 50042.83371637369
0.04 1, 0.4, 2, 50042.17192530632, 0.07454407139645147, 50042.246469377715
0.04 1, 0.42, 2, 50042.35081374645, 0.08021594636364227, 50042.431029692816
0.04 1, 0.44, 2, 50042.53700375557, 0.08154980191190908, 50042.618553557484
0.04 1, 0.46, 2, 50042.59176552296, 0.08621428791852892, 50042.67797981088
0.04 1, 0.48, 2, 50042.63922572136, 0.0884935739524394, 50042.72771929531
0.04 1, 0.5, 2, 50042.296051979065, 0.09532721936163246, 50042.39137919842
0.04 1, 0.0, 6, 50039.07606005669, 0.02695924825500351, 50039.103019304945
0.04 1, 0.02, 6, 50039.28780555725, 0.02694796362067975, 50039.31475352087
0.04 1, 0.04, 6, 50039.71494734287, 0.027484619822052747, 50039.742431962695
0.04 1, 0.06, 6, 50038.65621984005, 0.028002719319712877, 50038.68422255937
0.04 1, 0.08, 6, 50039.455741643906, 0.029280949298608583, 50039.4850225932
0.04 1, 0.1, 6, 50038.88987004757, 0.030876081317953497, 50038.92074612889
0.04 1, 0.12, 6, 50038.68907690048, 0.03404195601144078, 50038.72311885649
0.04 1, 0.14, 6, 50039.265900850296, 0.03559485418382646, 50039.30149570448
0.04 1, 0.16, 6, 50039.49224948883, 0.03862378689381085, 50039.530873275726
0.04 1, 0.18, 6, 50038.08669745922, 0.04233285340151627, 50038.12903031262
0.04 1, 0.2, 6, 50039.07606005669, 0.0443714044179121, 50039.1204314611
0.04 1, 0.22, 6, 50039.18193280697, 0.04712686079942563, 50039.22905966777
0.04 1, 0.24, 6, 50039.2147898674, 0.051596079594082855, 50039.266385947
0.04 1, 0.26, 6, 50039.42288458347, 0.05521521226455495, 50039.478099795735
0.04 1, 0.28, 6, 50039.455741643906, 0.057274809872597254, 50039.51301645378
0.04 1, 0.3, 6, 50039.03955221176, 0.06116760929853071, 50039.10071982106
0.04 1, 0.32, 6, 50039.174631237984, 0.06331940755034082, 50039.23795064553
0.04 1, 0.34, 6, 50039.34986889362, 0.067345092350523, 50039.41721398597
0.04 1, 0.36, 6, 50039.13812339306, 0.0709374525834845, 50039.20906084564
0.04 1, 0.38, 6, 50038.93002867699, 0.07241275022573368, 50039.00244142721
0.04 1, 0.4, 6, 50040.16399383545, 0.07525637185851264, 50040.239250207305
0.04 1, 0.42, 6, 50039.48859870434, 0.08072584958562234, 50039.56932455392
0.04 1, 0.44, 6, 50038.984790444374, 0.0822334345377147, 50039.06702387891
0.04 1, 0.46, 6, 50039.03955221176, 0.08518058735144662, 50039.124732799115
0.04 1, 0.48, 6, 50039.4082814455, 0.08957660325218375, 50039.49785804876
0.04 1, 0.5, 6, 50039.03955221176, 0.09208624444081348, 50039.1316384562
0.04 1, 0.0, 11, 50042.898431420326, 0.02709206637996242, 50042.92552348671
0.04 1, 0.02, 11, 50042.3289090395, 0.027124520907828575, 50042.356033560405
0.04 1, 0.04, 11, 50042.18652844429, 0.027501617815275936, 50042.2140300621
0.04 1, 0.06, 11, 50042.719542980194, 0.028485147709640724, 50042.748028127906
0.04 1, 0.08, 11, 50042.36541688442, 0.029851587464821083, 50042.39526847189
0.04 1, 0.1, 11, 50042.569860816, 0.03064544286583215, 50042.60050625887
0.04 1, 0.12, 11, 50042.84366965294, 0.033322296354336256, 50042.87699194929
0.04 1, 0.14, 11, 50042.4749404192, 0.03608252432662795, 50042.51102294352
0.04 1, 0.16, 11, 50042.87652671337, 0.03884928530888565, 50042.91537599868
0.04 1, 0.18, 11, 50042.734146118164, 0.04138597073739125, 50042.775532088905
0.04 1, 0.2, 11, 50042.865574359894, 0.0461153412231915, 50042.91168970112
0.04 1, 0.22, 11, 50042.82906651497, 0.0477691395756874, 50042.87683565455
0.04 1, 0.24, 11, 50043.234303593636, 0.0516112668137606, 50043.28591486045
0.04 1, 0.26, 11, 50042.850971221924, 0.05482877873280223, 50042.905800000655
0.04 1, 0.28, 11, 50042.734146118164, 0.05842262874884119, 50042.79256874691
0.04 1, 0.3, 11, 50043.13938319683, 0.062330712543081424, 50043.20171390937
0.04 1, 0.32, 11, 50042.763352394104, 0.06377605790199692, 50042.82712845201
0.04 1, 0.34, 11, 50042.90573298931, 0.06717395324810538, 50042.97290694256
0.04 1, 0.36, 11, 50042.646527290344, 0.07184727902288768, 50042.71837456937
0.04 1, 0.38, 11, 50042.836368083954, 0.07278882844713042, 50042.9091569124
0.04 1, 0.4, 11, 50043.6906516552, 0.07720895538983508, 50043.767860610584
0.04 1, 0.42, 11, 50042.90573298931, 0.0805583245409055, 50042.98629131385
0.04 1, 0.44, 11, 50042.65017807484, 0.08306478337448764, 50042.73324285821
0.04 1, 0.46, 11, 50043.117478489876, 0.08558938273300054, 50043.20306787261
0.04 1, 0.48, 11, 50042.62462258339, 0.0916288643470543, 50042.71625144774
0.04 1, 0.5, 11, 50042.46763885021, 0.09280710685997107, 50042.560445957075
0.04 1, 0.0, 26, 49951.898977160454, 0.026904391957239926, 49951.92588155241
0.04 1, 0.02, 26, 49951.70548558235, 0.026919009368922886, 49951.73240459172
0.04 1, 0.04, 26, 49952.296912670135, 0.02738807289389522, 49952.32430074303
0.04 1, 0.06, 26, 49951.825961470604, 0.028260652658152252, 49951.854222123264
0.04 1, 0.08, 26, 49951.98294520378, 0.029428029031951408, 49952.012373232814
0.04 1, 0.1, 26, 49951.92088186741, 0.031331803440221684, 49951.95221367085
0.04 1, 0.12, 26, 49951.81865990162, 0.03310027211210553, 49951.85176017373
0.04 1, 0.14, 26, 49952.08516716957, 0.035577000014016646, 49952.12074416959
0.04 1, 0.16, 26, 49951.873421669006, 0.03898824031548931, 49951.912409909324
0.04 1, 0.18, 26, 49951.61421597004, 0.0416275254887597, 49951.65584349553
0.04 1, 0.2, 26, 49951.961040496826, 0.04443886350624704, 49952.005479360334
0.04 1, 0.22, 26, 49951.738342642784, 0.048001237556156595, 49951.78634388034
0.04 1, 0.24, 26, 49951.85151696205, 0.050587384039751604, 49951.90210434609
0.04 1, 0.26, 26, 49951.5375494957, 0.05304241107949215, 49951.59059190677
0.04 1, 0.28, 26, 49951.946437358856, 0.05792191374244804, 49952.0043592726
0.04 1, 0.3, 26, 49951.73469185829, 0.06144250819923025, 49951.796134366494
0.04 1, 0.32, 26, 49952.03770697117, 0.06416530742099114, 49952.10187227859
0.04 1, 0.34, 26, 49951.80405676365, 0.06696523221260586, 49951.87102199586
0.04 1, 0.36, 26, 49951.89167559147, 0.07005628560360411, 49951.96173187707
0.04 1, 0.38, 26, 49951.67262852192, 0.0740507971515093, 49951.74667931907
0.04 1, 0.4, 26, 49952.063262462616, 0.07420687705975504, 49952.13746933968
0.04 1, 0.42, 26, 49951.26374065876, 0.08020466551392447, 49951.343945324275
0.04 1, 0.44, 26, 49951.946437358856, 0.08534929545459635, 49952.03178665431
0.04 1, 0.46, 26, 49951.884374022484, 0.08488915156998222, 49951.969263174055
0.04 1, 0.48, 26, 49951.63977146149, 0.08860113321226915, 49951.7283725947
0.04 1, 0.5, 26, 49952.11802423, 0.09244486460504475, 49952.21046909461
0.04 1, 0.0, final, 49952.56341993809, 0.026956901945933254, 49952.59037684003
0.04 1, 0.02, final, 49952.45389640331, 0.027007280308019133, 49952.48090368362
0.04 1, 0.04, final, 49952.49040424824, 0.02742475509417608, 49952.51782900333
0.04 1, 0.06, final, 49952.53421366215, 0.02824695867790572, 49952.56246062082
0.04 1, 0.08, final, 49952.22024619579, 0.0295012419252495, 49952.249747437716
0.04 1, 0.1, final, 49952.28596031666, 0.03129125761607887, 49952.31725157428
0.04 1, 0.12, final, 49952.136278152466, 0.033207883600823385, 49952.169486036066
0.04 1, 0.14, final, 49952.78611779213, 0.03607907726704018, 49952.8221968694
0.04 1, 0.16, final, 49952.52326130867, 0.03907797567240867, 49952.56233928434
0.04 1, 0.18, final, 49952.603578567505, 0.04203437480283512, 49952.64561294231
0.04 1, 0.2, final, 49952.150881290436, 0.04347880106561797, 49952.194360091504
0.04 1, 0.22, final, 49952.355325222015, 0.046882942075509804, 49952.402208164094
0.04 1, 0.24, final, 49952.42469012737, 0.051060817827191074, 49952.4757509452
0.04 1, 0.26, final, 49952.68024504185, 0.05386312591124953, 49952.73410816776
0.04 1, 0.28, final, 49952.43929326534, 0.05841894572197104, 49952.497712211065
0.04 1, 0.3, final, 49952.56341993809, 0.060385933652288726, 49952.62380587174
0.04 1, 0.32, final, 49952.27135717869, 0.06404266818023052, 49952.33539984687
0.04 1, 0.34, final, 49952.69484817982, 0.067557469252425, 49952.76240564907
0.04 1, 0.36, final, 49952.515959739685, 0.07060881187379708, 49952.58656855156
0.04 1, 0.38, final, 49952.691197395325, 0.07312045586160731, 49952.764317851186
0.04 1, 0.4, final, 49952.79707014561, 0.07679680787044707, 49952.87386695348
0.04 1, 0.42, final, 49952.83357799053, 0.07873445650825772, 49952.91231244704
0.04 1, 0.44, final, 49952.04500854015, 0.08337033089863188, 49952.12837887105
0.04 1, 0.46, final, 49952.05961167812, 0.0861581952861249, 49952.14576987341
0.04 1, 0.48, final, 49952.54151523113, 0.09020375478708353, 49952.63171898592
0.04 1, 0.5, final, 49952.778816223145, 0.08969801702793845, 49952.868514240174
0.04 2, 0.0, 0, 605513.391494751, 57675000.489727676, 58280513.88122243
0.04 2, 0.02, 0, 605494.2321777344, 57701929.96573992, 58307424.197917655
0.04 2, 0.04, 0, 605792.3114299774, 57728864.76453832, 58334657.075968295
0.04 2, 0.06, 0, 605912.3492240906, 57765186.07243697, 58371098.421661064
0.04 2, 0.08, 0, 605944.5345401764, 57790318.78282994, 58396263.31737012
0.04 2, 0.1, 0, 606197.9866027832, 57837764.73809249, 58443962.72469527
0.04 2, 0.12, 0, 606355.4668426514, 57881498.25219092, 58487853.71903357
0.04 2, 0.14, 0, 606491.1592006683, 57940322.10810763, 58546813.267308295
0.04 2, 0.16, 0, 606716.982126236, 58001207.9461983, 58607924.928324535
0.04 2, 0.18, 0, 607006.7667961121, 58063380.31349714, 58670387.08029325
0.04 2, 0.2, 0, 607101.9208431244, 58105341.93646747, 58712443.85731059
0.04 2, 0.22, 0, 607520.3883647919, 58165884.637596935, 58773405.02596173
0.04 2, 0.24, 0, 607623.2528686523, 58258874.01303464, 58866497.265903294
0.04 2, 0.26, 0, 608114.9697303772, 58350411.65583447, 58958526.62556485
0.04 2, 0.28, 0, 608162.6927852631, 58376895.06010705, 58985057.752892315
0.04 2, 0.3, 0, 608406.0394763947, 58410705.5771774, 59019111.61665379
0.04 2, 0.32, 0, 608791.036605835, 58531888.92124529, 59140679.95785113
0.04 2, 0.34, 0, 608898.1652259827, 58577964.63166252, 59186862.7968885
0.04 2, 0.36, 0, 609329.2498588562, 58664048.89070717, 59273378.14056603
0.04 2, 0.38, 0, 609361.3183498383, 58664420.45515898, 59273781.77350882
0.04 2, 0.4, 0, 609556.8835735321, 58753364.04260932, 59362920.92618285
0.04 2, 0.42, 0, 609902.9779434204, 58819195.99670796, 59429098.97465138
0.04 2, 0.44, 0, 610090.1317596436, 58867282.61486663, 59477372.74662627
0.04 2, 0.46, 0, 610361.3412380219, 58921890.378980555, 59532251.72021858
0.04 2, 0.48, 0, 610378.3392906189, 58961112.10615693, 59571490.44544755
0.04 2, 0.5, 0, 610857.4974536896, 59071500.421434805, 59682357.918888494
0.04 2, 0.0, 1, 50743.56064200401, 0.04364359193358047, 50743.604285595946
0.04 2, 0.02, 1, 50744.43317949772, 0.04391763845172092, 50744.47709713617
0.04 2, 0.04, 1, 50744.34190988541, 0.04437971623658554, 50744.38628960164
0.04 2, 0.06, 1, 50743.195563554764, 0.04500814851805501, 50743.24057170328
0.04 2, 0.08, 1, 50742.69540607929, 0.04603087892574964, 50742.74143695822
0.04 2, 0.1, 1, 50744.177624583244, 0.04734613983926206, 50744.22497072308
0.04 2, 0.12, 1, 50744.07905340195, 0.048403752029474, 50744.127457153976
0.04 2, 0.14, 1, 50743.72127652168, 0.050026998716022675, 50743.7713035204
0.04 2, 0.16, 1, 50744.34190988541, 0.052212635756741954, 50744.39412252116
0.04 2, 0.18, 1, 50744.06445026398, 0.05430606526894288, 50744.11875632925
0.04 2, 0.2, 1, 50743.45111846924, 0.0558152473476895, 50743.506933716584
0.04 2, 0.22, 1, 50743.15540492535, 0.0577320257300038, 50743.213136951075
0.04 2, 0.24, 1, 50743.491277098656, 0.06017799787152012, 50743.55145509653
0.04 2, 0.26, 1, 50743.55334043503, 0.06104258219451286, 50743.61438301722
0.04 2, 0.28, 1, 50743.38175356388, 0.06340765584825803, 50743.44516121973
0.04 2, 0.3, 1, 50744.031593203545, 0.06428860120810775, 50744.09588180475
0.04 2, 0.32, 1, 50743.093341588974, 0.06755664564135355, 50743.160898234615
0.04 2, 0.34, 1, 50743.63365769386, 0.06912969208334319, 50743.70278738595
0.04 2, 0.36, 1, 50744.309052824974, 0.07116979906136411, 50744.38022262404
0.04 2, 0.38, 1, 50743.99873614311, 0.0725392326604678, 50744.071275375776
0.04 2, 0.4, 1, 50744.25794184208, 0.07428612019474401, 50744.33222796227
0.04 2, 0.42, 1, 50743.99873614311, 0.07699047216420474, 50744.07572661528
0.04 2, 0.44, 1, 50743.97683143616, 0.07723759275291342, 50744.05406902891
0.04 2, 0.46, 1, 50743.651911616325, 0.07954083864685402, 50743.73145245497
0.04 2, 0.48, 1, 50743.900164961815, 0.08028333598669368, 50743.9804482978
0.04 2, 0.5, 1, 50743.812546133995, 0.08195197194906068, 50743.89449810595
0.04 2, 0.0, 2, 50041.10224545002, 0.0255459648423354, 50041.12779141486
0.04 2, 0.02, 2, 50041.770339012146, 0.025532828831481447, 50041.79587184098
0.04 2, 0.04, 2, 50041.22272133827, 0.025937341821806292, 50041.248658680095
0.04 2, 0.06, 2, 50040.94161093235, 0.026610874882484925, 50040.968221807234
0.04 2, 0.08, 2, 50041.474625468254, 0.0274071546945186, 50041.50203262295
0.04 2, 0.1, 2, 50041.138753294945, 0.028846156314429106, 50041.16759945126
0.04 2, 0.12, 2, 50041.5001809597, 0.030689623991050796, 50041.530870583694
0.04 2, 0.14, 2, 50040.90875387192, 0.03244996929647448, 50040.94120384121
0.04 2, 0.16, 2, 50041.4052605629, 0.035071169138253144, 50041.44033173203
0.04 2, 0.18, 2, 50040.82478582859, 0.036876634583696055, 50040.861662463176
0.04 2, 0.2, 2, 50040.87954759598, 0.03930810745025015, 50040.91885570343
0.04 2, 0.22, 2, 50041.328594088554, 0.04136087311442638, 50041.36995496167
0.04 2, 0.24, 2, 50040.67875444889, 0.04436620620464837, 50040.72312065509
0.04 2, 0.26, 2, 50040.978118777275, 0.046675289138913945, 50041.02479406641
0.04 2, 0.28, 2, 50041.49287939072, 0.04868447070552495, 50041.54156386142
0.04 2, 0.3, 2, 50041.67176783085, 0.05081074190062329, 50041.72257857275
0.04 2, 0.32, 2, 50041.78129136562, 0.053879999635133236, 50041.83517136526
0.04 2, 0.34, 2, 50041.3066893816, 0.05575061871433962, 50041.36244000032
0.04 2, 0.36, 2, 50041.051134467125, 0.057444042295763054, 50041.10857850942
0.04 2, 0.38, 2, 50040.95986485481, 0.060011176273481404, 50041.01987603109
0.04 2, 0.4, 2, 50041.109547019005, 0.06363160601329576, 50041.17317862502
0.04 2, 0.42, 2, 50041.0620868206, 0.06209145146006001, 50041.12417827206
0.04 2, 0.44, 2, 50041.04018211365, 0.06586364458960559, 50041.106045758235
0.04 2, 0.46, 2, 50040.79557955265, 0.06912423121114986, 50040.86470378386
0.04 2, 0.48, 2, 50041.109547019005, 0.06952294550906324, 50041.17906996451
0.04 2, 0.5, 2, 50041.64256155491, 0.07207205895159297, 50041.71463361386
0.04 2, 0.0, 6, 50038.28018903732, 0.026365088531408953, 50038.306554125855
0.04 2, 0.02, 6, 50038.59780728817, 0.026333061264248392, 50038.624140349435
0.04 2, 0.04, 6, 50038.313046097755, 0.026712634114839928, 50038.33975873187
0.04 2, 0.06, 6, 50037.60479390621, 0.027554882998964025, 50037.63234878921
0.04 2, 0.08, 6, 50038.78764808178, 0.02853220475426188, 50038.816180286536
0.04 2, 0.1, 6, 50039.411932229996, 0.029462618847489686, 50039.44139484884
0.04 2, 0.12, 6, 50037.53907978535, 0.03147949232108005, 50037.570559277665
0.04 2, 0.14, 6, 50038.49558532238, 0.033546432345320065, 50038.52913175472
0.04 2, 0.16, 6, 50037.90780901909, 0.035810148333916714, 50037.943619167425
0.04 2, 0.18, 6, 50038.07209432125, 0.03808501223907035, 50038.11017933349
0.04 2, 0.2, 6, 50038.56860101223, 0.0400799579747273, 50038.6086809702
0.04 2, 0.22, 6, 50038.40431571007, 0.04313981336766082, 50038.447455523434
0.04 2, 0.24, 6, 50038.25098276138, 0.04490600551657786, 50038.2958887669
0.04 2, 0.26, 6, 50038.210824131966, 0.048176120509525244, 50038.259000252474
0.04 2, 0.28, 6, 50038.780346512794, 0.04917293754062191, 50038.82951945034
0.04 2, 0.3, 6, 50038.14145922661, 0.05248718296937449, 50038.19394640958
0.04 2, 0.32, 6, 50038.50653767586, 0.055677012285267335, 50038.56221468814
0.04 2, 0.34, 6, 50038.57955336571, 0.058578574153023255, 50038.63813193986
0.04 2, 0.36, 6, 50038.93002867699, 0.059349810838606576, 50038.98937848782
0.04 2, 0.38, 6, 50039.130821824074, 0.06140157602214513, 50039.192223400096
0.04 2, 0.4, 6, 50038.546696305275, 0.06576791307104424, 50038.61246421835
0.04 2, 0.42, 6, 50038.356855511665, 0.06731219046476755, 50038.42416770213
